cellType,TF,nTargets,sigTargets,percSig,nUp,nDown,meanLFC_up,meanLFC_down
Mac1,NBN,684,159,0.2324561403508772,365,296,0.4489529530437832,-0.3872297707695923
Mac1,NCOA1,1,1,1.0,0,1,,-0.403597168170057
Mac1,NCOA2,2848,758,0.26615168539325845,1581,1195,0.4489930651356373,-0.3991580403523968
Mac1,NCOA3,4122,1039,0.25206210577389615,2235,1765,0.4406241181185882,-0.38431890906121763
Mac1,NCOR1,10103,2412,0.23874096802929823,5143,4456,0.46900061762872636,-0.425295651780752
Mac1,NCOR2,11486,2460,0.21417377677172209,5517,5081,0.4629201771257162,-0.40544373564467334
Mac1,NELFA,8660,2116,0.2443418013856813,4516,3892,0.4538333055750283,-0.4108138962664654
Mac1,NELFB,2193,722,0.3292293661650707,1094,1084,0.37537899677872255,-0.4079247511274016
Mac1,NELFE,6758,1966,0.29091447173720036,3644,3072,0.41583591938694875,-0.4120455378333722
Mac1,NEO1,1,0,0.0,1,0,0.41665522653657094,
Mac1,NFAT5,4,1,0.25,3,1,0.4300992931775183,-0.4967931843614375
Mac1,NFE2,13,4,0.3076923076923077,7,6,0.3539482064087716,-0.6518031539392483
Mac1,NFIA,3826,1008,0.26346053319393625,2012,1743,0.4548726027141088,-0.4173563014849128
Mac1,NFIB,2886,742,0.2571032571032571,1496,1285,0.47002443069170147,-0.42494246460336954
Mac1,NFIL3,96,20,0.20833333333333334,41,36,0.6661714264107513,-0.3318628700308447
Mac1,NFKB1,75,24,0.32,45,29,0.39080927489487954,-0.4875053708739944
Mac1,NFYA,1165,360,0.3090128755364807,606,551,0.39525194718010037,-0.37784266090804175
Mac1,NFYB,32,11,0.34375,16,15,0.4340791679990151,-0.5084020915025153
Mac1,NFYC,34,14,0.4117647058823529,19,15,0.4526754021159654,-0.3875845375184677
Mac1,NIPBL,12498,2605,0.20843334933589375,5882,5532,0.4730640074456881,-0.4131062488240699
Mac1,NLRC5,107,38,0.35514018691588783,55,51,0.39512435745086816,-0.3563500068337114
Mac1,NPAS3,373,96,0.257372654155496,202,157,0.4422137958043413,-0.3682278350122802
Mac1,NPAS4,1147,321,0.2798605056669573,600,509,0.4154343909232838,-0.3718743200648752
Mac1,NR0B2,9,4,0.4444444444444444,6,3,0.6148976087673481,-0.6475258662602045
Mac1,NR1D1,11654,2579,0.22129740861506778,5739,5141,0.4856468966734754,-0.4113420440469825
Mac1,NR1D2,2986,803,0.26892163429336907,1567,1266,0.46656905778961805,-0.3884343142054849
Mac1,NR1H2,20,11,0.55,6,13,0.5674483831568412,-0.7500450523505507
Mac1,NR1H3,6353,1877,0.29545096804659216,3431,2824,0.465571083047736,-0.44317520817617023
Mac1,NR1H4,892,256,0.28699551569506726,493,376,0.46046917330707565,-0.40036987038713334
Mac1,NR1I2,97,27,0.27835051546391754,50,45,0.5363809197770457,-0.515849892684875
Mac1,NR4A1,8018,1839,0.2293589423796458,3865,3556,0.4549852918136265,-0.4083525302833382
Mac1,NR5A2,1815,443,0.2440771349862259,855,830,0.4572412526709304,-0.4260886002349517
Mac1,NR6A1,2946,790,0.2681602172437203,1568,1300,0.4547213269153716,-0.4080658972270368
Mac1,NRF1,4690,1125,0.23987206823027718,2405,2080,0.43488535593458594,-0.4009460446413573
Mac1,NSD3,1628,473,0.2905405405405405,857,756,0.38759428531659645,-0.381695058241739
Mac1,NUP98,176,62,0.3522727272727273,83,90,0.42060669567891373,-0.32264811572474084
Mac1,OLIG2,5217,1261,0.24170979490128428,2690,2299,0.45345174111765457,-0.3988360860943388
Mac1,OSR1,343,92,0.26822157434402333,186,149,0.39666018546847454,-0.36398543404108225
Mac1,OTX2,7166,1659,0.23150990789840917,3520,3167,0.45257869599833545,-0.39694009990956336
Mac1,OVOL2,10,4,0.4,6,4,0.43432976331801876,-0.1849463315701847
Mac1,PARP1,1,1,1.0,0,1,,-0.3313860719477155
